user_id,merchant_id,label,repurchase_prob,user_segment
211068,4385,0,0.5000736706273975,中复购潜力用户
421298,675,0,0.4797698114217455,中复购潜力用户
342946,4170,0,0.4257593654356137,中复购潜力用户
394742,747,0,0.40073341828654313,中复购潜力用户
4787,4850,0,0.5375948771485612,中复购潜力用户
28975,2424,0,0.42885952126853455,中复购潜力用户
213444,1742,0,0.4044997747541281,中复购潜力用户
413890,1481,0,0.5085705906269493,中复购潜力用户
268535,4269,0,0.38010460456770395,低复购潜力用户
169326,296,0,0.48151136250475834,中复购潜力用户
269893,3408,0,0.41922683398006955,中复购潜力用户
250030,4659,0,0.45029896311107365,中复购潜力用户
359537,3102,0,0.6002434106020048,中复购潜力用户
131167,3635,0,0.3799027360136079,低复购潜力用户
122370,794,0,0.4772372118305448,中复购潜力用户
24268,3614,0,0.43569715936635256,中复购潜力用户
395613,606,0,0.6516865132071371,中复购潜力用户
148810,1116,0,0.43858115097859707,中复购潜力用户
171226,2031,0,0.39466783046603787,低复购潜力用户
406960,606,0,0.5507864145725003,中复购潜力用户
372028,4919,0,0.36646849996700614,低复购潜力用户
168445,4171,0,0.4290256577320591,中复购潜力用户
333440,4431,0,0.4553601375744127,中复购潜力用户
156371,168,0,0.5901272917464115,中复购潜力用户
189312,1760,0,0.5433690395872622,中复购潜力用户
224957,354,0,0.5168004216917249,中复购潜力用户
28808,1833,0,0.49982342089277026,中复购潜力用户
179971,574,0,0.38937272532375794,低复购潜力用户
156709,2565,0,0.431156659002565,中复购潜力用户
367450,3599,0,0.3655874909788318,低复购潜力用户
182395,3609,0,0.4916225363227577,中复购潜力用户
313746,2217,0,0.38834752564150876,低复购潜力用户
193630,3350,0,0.4058713388235274,中复购潜力用户
80414,4015,0,0.3917166067826485,低复购潜力用户
199133,317,0,0.49678450757440773,中复购潜力用户
260555,133,0,0.4170137263583088,中复购潜力用户
419520,4847,0,0.40725090501316236,中复购潜力用户
274941,1102,0,0.5093644241179394,中复购潜力用户
79245,3085,0,0.47020909767228886,中复购潜力用户
192734,4981,0,0.3687110455892884,低复购潜力用户
146948,2649,0,0.4208925357919927,中复购潜力用户
391913,4282,0,0.40686323239193145,中复购潜力用户
102321,4050,0,0.48323239942903756,中复购潜力用户
320792,1487,0,0.45147018915765313,中复购潜力用户
209055,121,0,0.44032349994513376,中复购潜力用户
368386,1816,0,0.44316192119123776,中复购潜力用户
114529,1923,0,0.4353310683111024,中复购潜力用户
332908,3624,1,0.4024893176678965,中复购潜力用户
126675,2730,0,0.4280274137293567,中复购潜力用户
303205,4282,0,0.5380784106015764,中复购潜力用户
311749,3004,0,0.41032030900914784,中复购潜力用户
361162,1340,0,0.47493570149913256,中复购潜力用户
71081,1522,0,0.4086676060299739,中复购潜力用户
56315,4499,0,0.4005617834619447,中复购潜力用户
188139,310,0,0.45812140903263254,中复购潜力用户
178845,2970,0,0.41095287046033335,中复购潜力用户
100652,1861,0,0.40393358514344385,中复购潜力用户
214060,806,0,0.4621849585491267,中复购潜力用户
269027,4090,0,0.39508005703439897,低复购潜力用户
172162,227,0,0.4605089868083018,中复购潜力用户
292021,121,0,0.4370693182089389,中复购潜力用户
27759,2031,0,0.3495335989058465,低复购潜力用户
70834,1892,0,0.591195140227442,中复购潜力用户
274409,323,0,0.35909444106750443,低复购潜力用户
28274,4287,0,0.41431349798644734,中复购潜力用户
319362,4744,0,0.38834752564150876,低复购潜力用户
